t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad
0,328,52,20,0.95,0.5569707409968072,1.2501118580619672
1,298,83,19,0.95,0.5576880774086577,1.2501118580619672
2,279,101,20,0.9525,0.5588222583686,1.2501118580619672
3,261,118,21,0.95,0.5601819615019066,1.2501118580619672
4,245,134,21,0.9475,0.5617450288779238,1.2501118580619672
5,218,161,21,0.9475,0.563485594558163,1.2501118580619672
6,212,167,21,0.9475,0.5655330334682097,1.2501118580619672
7,212,166,22,0.9475,0.5676014918642922,1.2501118580619672
8,206,172,22,0.945,0.5696054746212522,1.2501118580619672
9,189,189,22,0.945,0.5716337498150103,1.2501118580619672
10,190,188,22,0.945,0.5738048321322999,1.2501118580619672
11,179,199,22,0.945,0.5759036263582351,1.2501118580619672
12,181,197,22,0.945,0.5780681845693095,1.2501118580619672
13,161,217,22,0.945,0.5801528638150775,1.2501118580619672
14,149,229,22,0.945,0.5823937528231321,1.2501118580619672
15,142,236,22,0.945,0.5846995715310623,1.2501118580619672
16,122,256,22,0.945,0.5870110937508219,1.2501118580619672
17,125,253,22,0.945,0.589440185170547,1.2501118580619672
18,127,251,22,0.945,0.5917645522627979,1.2501118580619672
19,118,260,22,0.945,0.5940075866572435,1.2501118580619672
20,120,258,22,0.945,0.5962707043596842,1.2501118580619672
21,122,256,22,0.945,0.5984510857985904,1.2501118580619672
22,141,237,22,0.945,0.6005570734323965,1.2501118580619672
23,144,234,22,0.945,0.6024649454564204,1.2501118580619672
24,146,232,22,0.945,0.6042993787845726,1.2501118580619672
25,146,231,23,0.945,0.6060770871423607,1.2501118580619672
26,134,242,24,0.9425,0.6078050306354855,1.2501118580619672
27,139,237,24,0.94,0.6095869830796324,1.2501118580619672
28,138,238,24,0.94,0.6112936348622459,1.2501118580619672
29,121,255,24,0.94,0.6129729407072708,1.2501118580619672
30,137,239,24,0.94,0.6147366805172615,1.2501118580619672
31,133,243,24,0.94,0.6163519526794282,1.2501118580619672
32,125,250,25,0.94,0.6179711643253635,1.2501118580619672
33,126,249,25,0.9375,0.6196099627007909,1.2501118580619672
34,126,248,26,0.9375,0.621211971454693,1.2501118580619672
35,123,250,27,0.935,0.6227836183938217,1.2501118580619672
36,130,243,27,0.9325,0.6243448323091171,1.2501118580619672
37,132,241,27,0.9325,0.6258386272589744,1.2501118580619672
38,129,244,27,0.9325,0.6273055686099441,1.2501118580619672
39,128,245,27,0.9325,0.6287585804929081,1.2501118580619672
40,126,247,27,0.9325,0.6302020861264035,1.2501118580619672
41,127,246,27,0.9325,0.6316381069852877,1.2501118580619672
42,120,253,27,0.9325,0.6330606067228569,1.2501118580619672
43,125,247,28,0.9325,0.6345033177079813,1.2501118580619672
44,125,247,28,0.93,0.6359009732862784,1.2501118580619672
45,126,246,28,0.93,0.6372802510039168,1.2501118580619672
46,130,242,28,0.93,0.6386449616062034,1.2501118580619672
47,132,239,29,0.93,0.6399685942609042,1.2501118580619672
48,131,239,30,0.9275,0.6412660538520484,1.2501118580619672
49,131,239,30,0.925,0.6425454746076956,1.2501118580619672
