t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo
5,256,98,46,0.8875,0.27891850005969265,1.6922835573366402,42,38,18,22,22,0.4681131809444273,7.144005571266669,200.66223511849256
6,249,104,47,0.885,0.2852899494916556,1.6922835573366402,45,40,19,15,15,0.5016555877962315,7.606684256615635,202.29752241446465
7,235,115,50,0.8825,0.2913629263615281,1.6922835573366402,46,44,25,24,24,0.5057438060361616,8.086813630385938,243.90313114136205
8,232,118,50,0.875,0.2983061844609449,1.6922835573366402,52,41,25,23,23,0.6097578278534053,8.531006138368781,234.09222184709247
9,234,115,51,0.875,0.3046049211747096,1.6922835573366402,45,44,26,18,18,0.5852305546177313,8.062377027786974,214.01800174747018
10,229,119,52,0.8725,0.31000671539627755,1.6922835573366402,53,47,19,21,21,0.5350450043686756,7.117629264265837,215.43861766252024
11,218,129,53,0.87,0.3152518151037459,1.6922835573366402,59,44,26,17,17,0.5385965441563008,8.173997583879816,228.10330362969023
12,214,132,54,0.8675,0.3205202428455698,1.6922835573366402,60,48,24,20,20,0.5702582590742258,7.416528890627935,249.62011113223173
13,211,131,58,0.865,0.325994522240001,1.6922835573366402,56,54,21,23,23,0.6240502778305796,7.909705150238391,251.71294562696318
14,196,145,59,0.855,0.33120864978109443,1.6922835573366402,59,56,30,25,25,0.6292823640674081,8.780324769398412,276.4735102185565
15,194,146,60,0.8525,0.336721045596176,1.6922835573366402,61,55,30,25,25,0.6911837755463912,9.170088423354033,279.1769512124775
16,189,150,61,0.85,0.34197787358051346,1.6922835573366402,61,53,36,23,23,0.6979423780311942,9.680145001660874,273.3473353229348
17,176,161,63,0.8475,0.3470197312263862,1.6922835573366402,70,55,36,22,22,0.683368338307337,9.517159940958223,299.18982326724165
18,169,165,66,0.8425,0.3523133322105639,1.6922835573366402,70,58,37,23,23,0.7479745581681041,10.450570731582756,309.56993556556114
19,171,162,67,0.835,0.35760758560136535,1.6922835573366402,68,58,36,24,24,0.7739248389139032,10.123277545645589,310.2106663121434
20,167,166,67,0.8325,0.3626180764243583,1.6922835573366402,68,60,38,27,27,0.7755266657803588,9.65209371109197,318.36110637315795
21,167,165,68,0.8325,0.36755661607652695,1.6922835573366402,65,61,39,25,25,0.795902765932895,9.76056315317883,316.4294048317821
22,162,169,69,0.83,0.37230631476577586,1.6922835573366402,70,60,39,25,25,0.7910735120794553,9.672398915056373,309.20075498816726
23,166,165,69,0.8275,0.3768415864941614,1.6922835573366402,71,56,38,23,23,0.7730018874704185,10.376443445697387,303.5891945498646
24,167,163,70,0.8275,0.3811136958062646,1.6922835573366402,69,57,37,20,20,0.7589729863746618,11.084119391964146,291.7875643839514
25,163,167,70,0.825,0.38514970014319827,1.6922835573366402,65,65,37,26,26,0.7294689109598786,10.176469504656248,313.57780965652455
26,164,165,71,0.825,0.3894523383277012,1.6922835573366402,67,60,38,25,25,0.7839445241413117,10.571286976881744,303.7971925777055
27,164,162,74,0.8225,0.39344472264331204,1.6922835573366402,74,52,36,27,27,0.7594929814442639,8.764225460005555,292.2946563819187
28,168,156,76,0.815,0.3972600967734934,1.6922835573366402,74,49,33,24,24,0.730736640954797,9.728132644949985,291.78944413943947
29,159,161,80,0.81,0.40084770216414856,1.6922835573366402,72,54,35,23,23,0.7294736103485989,9.979937648265414,315.71731536474863
30,155,162,83,0.8,0.40473456390629164,1.6922835573366402,69,59,34,24,24,0.789293288411872,9.992339075604178,315.04643952864825
31,152,165,83,0.7925,0.40852191181959996,1.6922835573366402,69,63,33,23,23,0.7876160988216208,9.642823049337682,315.3343449054435
32,153,160,87,0.7925,0.4122463271496777,1.6922835573366402,64,59,37,23,23,0.7883358622636087,9.827702105469708,309.26628874226606
33,147,165,88,0.7825,0.41591377900912013,1.6922835573366402,69,61,35,24,24,0.7731657218556649,10.513430150835767,322.8350598352859
34,150,162,88,0.78,0.4196712054139363,1.6922835573366402,69,62,31,23,23,0.8070876495882152,10.389094353238363,294.88917243470814
35,156,153,91,0.78,0.4230893323793202,1.6922835573366402,69,54,30,23,23,0.7372229310867704,10.481885424283771,297.21479545497783
36,147,158,95,0.7725,0.42641076348407014,1.6922835573366402,65,58,35,25,25,0.7430369886374447,11.337377424456555,318.915636738852
37,143,161,96,0.7625,0.42995228950517833,1.6922835573366402,68,56,37,26,26,0.7972890918471305,11.781212593303563,324.1807864152803
38,142,160,98,0.76,0.43352830023985445,1.6922835573366402,70,53,37,20,20,0.810451966038201,12.36358387154648,302.81834960220294
39,136,165,99,0.755,0.43691524336562393,1.6922835573366402,69,60,36,24,24,0.7570458740055075,11.320259269008071,304.7278383393226
