t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo
157,25,31,344,0.1475,0.6006171706536602,1.6922835573366402,20,4,7,3,3,0.18726587936023217,3.8202696979401827,75.62919681100952
158,23,32,345,0.14,0.6009416563826051,1.6922835573366402,18,5,9,3,3,0.18907299202752376,3.8202696979401827,79.28295632741884
159,25,29,346,0.1375,0.6012982638391318,1.6922835573366402,18,3,8,4,4,0.1982073908185471,4.15077323842725,77.56750858120886
160,25,29,346,0.135,0.6016354107250704,1.6922835573366402,17,2,10,4,4,0.19391877145302214,3.960078687501883,80.88438015150527
161,25,28,347,0.135,0.6019882382428159,1.6922835573366402,16,3,9,4,4,0.20221095037876313,3.9272985465213806,72.26717408849683
162,23,27,350,0.1325,0.6023021177852316,1.6922835573366402,15,2,10,3,3,0.18066793522124208,4.111030435889615,64.1101302879474
163,25,23,352,0.125,0.602641981764103,1.6922835573366402,14,1,8,2,2,0.16027532571986852,3.701210531871851,60.31452851131661
164,24,24,352,0.12,0.6029320977512358,1.6922835573366402,16,1,7,2,2,0.15078632127829153,3.1956970689987676,56.95850508263902
165,21,27,352,0.12,0.6032097050269164,1.6922835573366402,16,3,8,2,2,0.14239626270659758,3.0083374217140344,60.418669155242235
166,22,26,352,0.12,0.6035098162219296,1.6922835573366402,15,3,8,2,2,0.1510466728881056,3.196631127145409,58.82808472061076
167,22,26,352,0.12,0.60379366908396,1.6922835573366402,16,3,7,2,2,0.1470702118015269,3.196631127145409,59.322267914653494
168,20,27,353,0.12,0.6040686478631316,1.6922835573366402,16,3,8,2,2,0.14830566978663376,3.196631127145409,62.51051846844133
169,19,27,354,0.1175,0.6043551447505342,1.6922835573366402,16,3,8,2,2,0.15627629617110333,3.196631127145409,62.51051846844133
170,20,24,356,0.115,0.6046401137600727,1.6922835573366402,16,2,6,2,2,0.15627629617110333,3.196631127145409,58.02553100119125
171,23,20,357,0.11,0.6048949601487535,1.6922835573366402,12,1,7,2,2,0.1450638275029781,3.118027094809719,54.820205271390535
172,20,23,357,0.1075,0.6051252518423449,1.6922835573366402,12,3,8,2,2,0.13705051317847633,3.166218209222956,62.55770513831681
173,19,24,357,0.1075,0.6054200062240851,1.6922835573366402,13,2,9,2,2,0.15639426284579205,4.349870767047077,65.96751763693717
174,21,22,357,0.1075,0.6057354774954715,1.6922835573366402,12,2,8,2,2,0.16491879409234295,4.349870767047077,59.78300226742778
175,22,21,357,0.1075,0.6059915844111213,1.6922835573366402,12,1,8,2,2,0.14945750566856944,3.8244520200947187,54.3754347447555
176,22,21,357,0.1075,0.60621765889335,1.6922835573366402,12,2,7,2,2,0.13593858686188873,3.196631127145409,57.88836112937243
177,20,22,358,0.1075,0.6064637132207524,1.6922835573366402,12,2,8,2,2,0.14472090282343109,3.6428418444671555,60.370118039761195
178,19,23,358,0.105,0.6067156991405797,1.6922835573366402,12,3,8,2,2,0.15092529509940303,3.6428418444671555,60.95920211246899
179,20,21,359,0.105,0.606985452602235,1.6922835573366402,11,2,8,2,2,0.15239800528117248,3.6428418444671555,57.71621235150502
180,19,21,360,0.1025,0.6072292543008917,1.6922835573366402,12,1,8,2,2,0.1442905308787626,3.6428418444671555,60.108273119653596
181,19,20,361,0.1,0.6074920194039504,1.6922835573366402,11,1,8,2,2,0.150270682799134,3.428976479064789,58.085598509396355
182,17,20,363,0.0975,0.6077294216011703,1.6922835573366402,10,2,8,2,2,0.14521399627349088,3.428976479064789,57.92391263899881
183,15,22,363,0.0925,0.6079662865061377,1.6922835573366402,11,2,9,2,2,0.14480978159749702,3.273802877597575,67.85405040529446
184,15,21,364,0.0925,0.6082554377111646,1.6922835573366402,10,2,9,2,2,0.16963512601323616,4.771084036035839,61.95366814797969
185,16,20,364,0.09,0.6085089957720177,1.6922835573366402,9,2,9,2,2,0.1548841703699492,4.571751671241087,63.105433422119276
186,16,19,365,0.09,0.6087487327902446,1.6922835573366402,9,1,9,1,1,0.15776358355529818,4.571751671241087,62.393283487814735
187,17,18,365,0.0875,0.6089995720619178,1.6922835573366402,10,1,7,1,1,0.15598320871953686,5.097170418193444,61.26759615494911
188,14,20,366,0.0875,0.6092365704555016,1.6922835573366402,10,2,8,1,1,0.1531689903873728,5.097170418193444,65.46266746047128
189,15,18,367,0.085,0.6095279958571134,1.6922835573366402,10,2,6,1,1,0.16365666865117823,4.812167825921677,56.84344645947201
190,14,19,367,0.0825,0.6097584077378034,1.6922835573366402,12,2,5,1,1,0.14210861614868,4.2867490789693194,56.834479860077394
191,16,17,367,0.0825,0.6100074944384162,1.6922835573366402,10,2,5,1,1,0.1420861996501935,4.2867490789693194,53.88265547635757
192,17,16,367,0.0825,0.6102232270963204,1.6922835573366402,9,2,5,1,1,0.13470663869089392,4.2867490789693194,50.259431547843285
193,17,16,367,0.0825,0.6104218699362187,1.6922835573366402,10,2,4,1,1,0.12564857886960823,4.2867490789693194,49.83623372268777
194,15,17,368,0.0825,0.6106190518094222,1.6922835573366402,10,2,5,1,1,0.12459058430671945,3.9196038987338406,53.80531905458911
195,14,18,368,0.08,0.6108352468747829,1.6922835573366402,11,2,5,1,1,0.1345132976364728,4.445022645686198,52.519175901217935
196,14,18,368,0.08,0.6110492488950683,1.6922835573366402,11,1,6,1,1,0.13129793975304485,3.473160234200291,53.23355259203759
197,16,16,368,0.08,0.6112537111789598,1.6922835573366402,12,2,2,1,1,0.13308388148009398,3.840305414435771,45.49922135619259
198,15,16,369,0.08,0.6114238674749005,1.6922835573366402,10,2,4,1,1,0.11374805339048148,2.621655105090329,40.18062631193328
199,17,14,369,0.0775,0.6115722968555766,1.6922835573366402,9,1,4,1,1,0.1004515657798332,2.621655105090329,30.884178697037783
200,15,16,369,0.0775,0.6116865611965943,1.6922835573366402,11,1,4,1,1,0.07721044674259446,1.8714643661344685,33.8360030807576
201,14,15,371,0.0775,0.6118319006901838,1.6922835573366402,11,0,4,1,1,0.08459000770189401,1.8714643661344685,33.178388534378676
202,15,14,371,0.0725,0.611971865277528,1.6922835573366402,10,0,4,1,1,0.0829459713359467,1.8714643661344685,32.17245184054366
203,16,12,372,0.0725,0.6121078191042018,1.6922835573366402,9,0,3,1,1,0.08043112960135915,1.8714643661344685,28.978850610975723
204,16,12,372,0.07,0.6122285107170792,1.6922835573366402,9,0,3,1,1,0.0724471265274393,1.8714643661344685,28.978850610975723
205,15,12,373,0.07,0.612348703190287,1.6922835573366402,8,0,4,1,1,0.0724471265274393,1.8714643661344685,31.591722289290914
206,16,11,373,0.0675,0.6124805015275051,1.6922835573366402,7,0,4,1,1,0.07897930572322727,1.8714643661344685,30.14964254787978
207,15,11,374,0.0675,0.6125980923153124,1.6922835573366402,7,1,3,1,1,0.07537410636969945,1.8714643661344685,26.331245773163374
208,16,9,375,0.065,0.6126839136534942,1.6922835573366402,5,1,3,1,1,0.06582811443290844,1.9602663244296004,24.653015431228855
