t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,estrategia
14,196,145,59,0.855,0.33120864978109443,1.6922835573366402,59,56,30,25,25,0.6292823640674081,8.780324769398412,276.4735102185565,14.0,Sin intervención
15,194,146,60,0.8525,0.336721045596176,1.6922835573366402,61,55,30,25,25,0.6911837755463912,9.170088423354033,279.1769512124775,1.0,Sin intervención
16,189,150,61,0.85,0.34197787358051346,1.6922835573366402,61,53,36,23,23,0.6979423780311942,9.680145001660874,273.3473353229348,4.0,Sin intervención
17,176,161,63,0.8475,0.3470197312263862,1.6922835573366402,70,55,36,22,22,0.683368338307337,9.517159940958223,299.18982326724165,11.0,Sin intervención
18,169,165,66,0.8425,0.3523133322105639,1.6922835573366402,70,58,37,23,23,0.7479745581681041,10.450570731582756,309.56993556556114,4.0,Sin intervención
19,171,162,67,0.835,0.35760758560136535,1.6922835573366402,68,58,36,24,24,0.7739248389139032,10.123277545645589,310.2106663121434,-3.0,Sin intervención
20,167,166,67,0.8325,0.3626180764243583,1.6922835573366402,68,60,38,27,27,0.7755266657803588,9.65209371109197,318.36110637315795,4.0,Sin intervención
21,167,165,68,0.8325,0.36755661607652695,1.6922835573366402,65,61,39,25,25,0.795902765932895,9.76056315317883,316.4294048317821,-1.0,Sin intervención
22,162,169,69,0.83,0.37230631476577586,1.6922835573366402,70,60,39,25,25,0.7910735120794553,9.672398915056373,309.20075498816726,4.0,Sin intervención
23,166,165,69,0.8275,0.3768415864941614,1.6922835573366402,71,56,38,23,23,0.7730018874704185,10.376443445697387,303.5891945498646,-4.0,Sin intervención
24,167,163,70,0.8275,0.3811136958062646,1.6922835573366402,69,57,37,20,20,0.7589729863746618,11.084119391964146,291.7875643839514,-2.0,Sin intervención
25,163,167,70,0.825,0.38514970014319827,1.6922835573366402,65,65,37,26,26,0.7294689109598786,10.176469504656248,313.57780965652455,4.0,Sin intervención
26,164,165,71,0.825,0.3894523383277012,1.6922835573366402,67,60,38,25,25,0.7839445241413117,10.571286976881744,303.7971925777055,-2.0,Sin intervención
27,164,162,74,0.8225,0.39344472264331204,1.6922835573366402,74,52,36,27,27,0.7594929814442639,8.764225460005555,292.2946563819187,-3.0,Sin intervención
