topologia,R0_estimado,tiempo_al_pico,prevalencia_maxima,tasa_max_crecimiento,tasa_crecimiento_exponencial,tiempo_duplicacion,auc_desinformados,tasa_ataque_final,duracion_epidemia,velocidad_propagacion,desinformados_finales,susceptibles_finales,no_involucrados_finales,densidad_red,clustering,grado_in_promedio
Small-world,1.2053845180770533,20,0.58,28.0,0.20538451807705327,3.374875511794419,23624.5,0.9825,249,0.028999999999999998,18,7,375,0.022518796992481202,0.4067050594624875,8.985
Scale-free,1.2062580616255303,31,0.365,24.0,0.20625806162553034,3.360582248748082,13656.0,0.9875,188,0.011774193548387097,8,5,387,0.027105263157894736,0.28110951436560166,10.815
Híbrido,1.164671681206121,22,0.4225,18.0,0.16467168120612116,4.20926764992656,17426.5,0.9875,246,0.019204545454545453,12,5,383,0.023590225563909776,0.2499991708012713,9.4125
Aleatoria,1.2188339436978959,22,0.485,31.0,0.21883394369789594,3.1674573370429546,19839.0,0.9675,248,0.022045454545454545,6,13,381,0.02038220551378446,0.11924217917773673,8.1325
