t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,topologia
67,65,171,164,0.6025,0.6382886065408111,1.5400109237910788,61,63,47,5,5,0.7164768753302587,11.925495221062663,306.4659100220919,-2.0,Small-world
68,52,183,165,0.59,0.6416460153138109,1.5400109237910788,69,64,50,5,5,0.7661647750552301,15.584488991696118,323.1852970613429,12.0,Small-world
69,48,182,170,0.5875,0.6451419993969866,1.5400109237910788,65,68,49,5,5,0.8079632426533573,15.677053147360633,323.3831951074553,-1.0,Small-world
70,51,176,173,0.575,0.6486052348372282,1.5400109237910788,64,67,45,5,5,0.8084579877686384,14.7015239708231,299.95950264596786,-6.0,Small-world
71,50,176,174,0.5675,0.6518667174197654,1.5400109237910788,67,65,44,5,5,0.7498987566149197,13.211941332010595,296.06048679830667,0.0,Small-world
72,59,165,176,0.565,0.655025277664561,1.5400109237910788,66,56,43,5,5,0.7401512169957667,13.83095018822523,275.4803240456683,-11.0,Small-world
73,56,168,176,0.56,0.6579200686882953,1.5400109237910788,63,63,42,5,5,0.6887008101141708,13.082111378462635,284.9378935460928,3.0,Small-world
74,53,168,179,0.56,0.6609184773886853,1.5400109237910788,64,58,46,5,5,0.7123447338652322,13.574652688896892,295.5867153847395,0.0,Small-world
75,58,162,180,0.5525,0.6639696350292978,1.5400109237910788,63,54,45,4,4,0.7389667884618488,13.316243979100593,275.7018894511061,-6.0,Small-world
76,58,159,183,0.55,0.6667775417883345,1.5400109237910788,64,61,34,5,5,0.6892547236277653,12.588319692309705,257.5699320748763,-3.0,Small-world
77,64,150,186,0.5425,0.6693931095198161,1.5400109237910788,60,55,35,4,4,0.643924830187191,10.742492901996131,239.24070595202403,-9.0,Small-world
78,60,151,189,0.535,0.6717818724899831,1.5400109237910788,63,55,33,5,5,0.5981017648800602,10.9566622681274,236.88544919725481,1.0,Small-world
79,56,154,190,0.5275,0.6741568375928599,1.5400109237910788,66,54,34,5,5,0.5922136229931372,10.856133632459724,245.2698829079313,3.0,Small-world
80,50,155,195,0.525,0.6765973718369702,1.5400109237910788,68,50,37,5,5,0.6131747072698285,11.474267890481052,254.25498132272108,1.0,Small-world
81,57,144,199,0.5125,0.6790902523676036,1.5400109237910788,63,43,38,4,4,0.6356374533068029,11.224830323268062,244.1777800623775,-11.0,Small-world
82,53,145,202,0.5025,0.6814055609001474,1.5400109237910788,64,44,37,5,5,0.6104444501559442,11.331023714421763,247.9244351378316,1.0,Small-world
83,50,145,205,0.495,0.683702539045268,1.5400109237910788,63,46,36,5,5,0.6198110878445793,11.557199735661994,245.8469311530853,0.0,Small-world
84,54,139,207,0.4875,0.6859198189901177,1.5400109237910788,63,42,34,5,5,0.6146173278827134,11.68278784661898,234.66284140353997,-6.0,Small-world
85,41,148,211,0.4825,0.6880188913614999,1.5400109237910788,67,48,33,5,5,0.58665710350885,10.062189502675826,241.71420742561554,9.0,Small-world
86,43,143,214,0.4725,0.6902103777868379,1.5400109237910788,65,47,31,5,5,0.6042855185640389,10.905000616241724,243.70966203913397,-5.0,Small-world
87,41,142,217,0.465,0.6923677930772862,1.5400109237910788,62,49,31,5,5,0.609274155097835,11.490808881869755,240.1818323837002,-1.0,Small-world
88,41,141,218,0.4575,0.6944620914895852,1.5400109237910788,60,48,33,5,5,0.6004545809592507,11.26199726838177,244.92183185430127,-1.0,Small-world
89,41,136,223,0.455,0.696610595821821,1.5400109237910788,58,46,32,5,5,0.6123045796357534,11.719623543382095,235.65444803946758,-5.0,Small-world
90,44,130,226,0.4425,0.6986538499523646,1.5400109237910788,55,46,29,5,5,0.5891361200986691,11.619693833331292,225.3625397138838,-6.0,Small-world
91,40,129,231,0.435,0.7005375609301623,1.5400109237910788,53,45,31,4,4,0.5634063492847097,11.047085030341366,215.29043793922577,-1.0,Small-world
92,35,133,232,0.4225,0.7023126353060928,1.5400109237910788,53,47,33,4,4,0.5382260948480646,11.18332721529895,226.64073979332747,4.0,Small-world
93,36,129,235,0.42,0.704155245908974,1.5400109237910788,51,45,33,4,4,0.5666018494833187,10.88870977440666,224.1835513315346,-4.0,Small-world
94,36,126,238,0.4125,0.7059597780270779,1.5400109237910788,51,42,33,5,5,0.5604588783288365,11.690958656199687,228.26371097246064,-3.0,Small-world
95,41,119,240,0.405,0.7077288381069181,1.5400109237910788,50,39,30,5,5,0.5706592774311516,11.75593399215861,213.2970562432948,-7.0,Small-world
96,41,118,241,0.4,0.7093166679657267,1.5400109237910788,46,40,32,5,5,0.5332426406082371,10.869648988002032,210.88435593547337,-1.0,Small-world
97,46,109,245,0.3975,0.7108877276845422,1.5400109237910788,46,37,26,5,5,0.5272108898386832,10.521572655092596,186.7838452143263,-9.0,Small-world
98,42,108,250,0.3875,0.712331030097549,1.5400109237910788,46,36,26,4,4,0.4669596130358158,8.576541365968904,175.87780487923735,-1.0,Small-world
99,39,109,252,0.375,0.7136794508275898,1.5400109237910788,44,37,28,4,4,0.4396945121980934,9.318646484533412,176.49795391103137,1.0,Small-world
100,39,105,256,0.37,0.7150097793097859,1.5400109237910788,46,34,25,4,4,0.44124488477757867,9.803304504334056,173.74431981979228,-4.0,Small-world
101,39,103,258,0.36,0.7163014543203474,1.5400109237910788,43,33,27,4,4,0.43436079954948087,9.908506626247657,178.08972403592566,-2.0,Small-world
102,36,104,260,0.355,0.717619844110105,1.5400109237910788,46,31,27,2,2,0.4452243100898143,9.290372368226329,171.342050979968,1.0,Small-world
103,37,102,261,0.35,0.7188775719295382,1.5400109237910788,45,33,24,1,1,0.42835512744992016,8.217392126832307,161.97753192027727,-2.0,Small-world
104,38,95,267,0.3475,0.7200690781003352,1.5400109237910788,40,31,24,1,1,0.4049438298006933,8.262469471508526,158.06826624214563,-7.0,Small-world
105,35,97,268,0.3325,0.7211962586233186,1.5400109237910788,40,32,25,0,0,0.3951706656053641,8.256086830083497,153.3539343733997,2.0,Small-world
106,42,87,271,0.33,0.72229230499331,1.5400109237910788,37,27,23,1,1,0.3833848359334992,8.226194638108412,139.021308092942,-10.0,Small-world
107,43,84,273,0.3225,0.7232859669231146,1.5400109237910788,37,27,20,1,1,0.34755327023235494,6.438678367135924,134.7991400185723,-3.0,Small-world
108,40,86,274,0.3175,0.7242741185251611,1.5400109237910788,36,30,20,0,0,0.33699785004643074,5.994688276059839,127.93126984791158,2.0,Small-world
109,37,88,275,0.315,0.725275795759298,1.5400109237910788,38,29,21,1,1,0.31982817461977886,5.6788056136301375,137.81448104097973,2.0,Small-world
110,38,83,279,0.3125,0.726333610124239,1.5400109237910788,36,25,22,1,1,0.3445362026024493,6.0952604400318595,131.6051394256475,-5.0,Small-world
111,35,82,283,0.3025,0.727337356457509,1.5400109237910788,40,21,21,1,1,0.3290128485641188,6.351885711497538,129.4057562590971,-1.0,Small-world
112,37,79,284,0.2925,0.7283293603983008,1.5400109237910788,39,20,20,1,1,0.32351439064774273,6.351885711497538,124.71058864790986,-3.0,Small-world
113,36,79,285,0.29,0.7292398934411178,1.5400109237910788,38,21,20,1,1,0.31177647161977473,6.553565143117144,124.68673033007418,0.0,Small-world
114,30,83,287,0.2875,0.7301338680429182,1.5400109237910788,38,24,21,1,1,0.3117168258251855,6.502689037220611,126.93659955772429,4.0,Small-world
115,28,84,288,0.2825,0.731022789519274,1.5400109237910788,39,23,22,1,1,0.3173414988943108,6.859000957141793,130.49546427054878,1.0,Small-world
116,28,84,288,0.28,0.7319436790898459,1.5400109237910788,40,22,22,1,1,0.32623866067637197,6.860791000940828,130.9157023745416,0.0,Small-world
117,26,83,291,0.28,0.7328774975146439,1.5400109237910788,39,22,22,1,1,0.3272892559363541,6.693175116134905,128.64398150697193,-1.0,Small-world
118,31,78,291,0.2725,0.7337889155567019,1.5400109237910788,37,21,20,0,0,0.3216099537674299,6.269766833624736,117.1757332908429,-5.0,Small-world
119,31,75,294,0.2725,0.7345997549559116,1.5400109237910788,36,18,21,1,1,0.2929393332271073,5.9575814609822695,118.6021598438906,-3.0,Small-world
120,32,73,295,0.265,0.7354077901143279,1.5400109237910788,38,18,17,1,1,0.2965053996097266,6.5272244360675815,111.66438896345461,-2.0,Small-world
